title,price,image,details
Сотовый телефон Apple iPhone 12 64GB черный,"

 67660 сом
-1%

67240 сом
","https://www.kivano.kg/images/product/85003/1602711552_56049300.jpg
",/product/view/sotovyy-telefon-apple-iphone-12-64gb-chernyy
Сотовый телефон Xiaomi Redmi 9C 4/128GB серый,"
11890 сом
","https://www.kivano.kg/images/product/95755/1627654600_03946800.jpg
",/product/view/sotovyy-telefon-xiaomi-redmi-9c-4-128gb-seryy
Сотовый телефон Samsung Galaxy Note 20 Ultra 5G 12/256GB белый,"
78790 сом
","https://www.kivano.kg/images/product/95756/1627808224_15778300.jpg
",/product/view/sotovyy-telefon-samsung-galaxy-note-20-ultra-5g-12-256gb-belyy
Сотовый телефон Apple iPhone 12 128GB черный,"

 74120 сом
-1%

73270 сом
","https://www.kivano.kg/images/product/85005/1602711824_97292800.jpg
",/product/view/sotovyy-telefon-apple-iphone-12-128gb-chernyy
Сотовый телефон Xiaomi Mi 10T Lite 6/128GB атлантический синий,"
27680 сом
","https://www.kivano.kg/images/product/90125/1615978765_49516200.jpg
",/product/view/sotovyy-telefon-xiaomi-mi-10t-lite-6-128gb-atlanticheskiy-siniy
Сотовый телефон Realme C3 2/32GB голубой,"
10020 сом
","https://www.kivano.kg/images/product/90893/1618065247_88057600.jpg
",/product/view/sotovyy-telefon-realme-c3-2-32gb-goluboy
Сотовый телефон Samsung Galaxy Note 20 Ultra 5G 12/256GB черный,"
78790 сом
","https://www.kivano.kg/images/product/95757/1627808275_13416200.jpg
",/product/view/sotovyy-telefon-samsung-galaxy-note-20-ultra-5g-12-256gb-chernyy
Сотовый телефон Apple iPhone 12 256GB черный,"

 80580 сом
-1%

79720 сом
","https://www.kivano.kg/images/product/85006/1602711869_88662500.jpg
",/product/view/sotovyy-telefon-apple-iphone-12-256gb-chernyy
Сотовый телефон Xiaomi Mi 10T Lite 6/128GB пляж розового золота,"
27680 сом
","https://www.kivano.kg/images/product/90126/1615978865_73950300.jpg
",/product/view/sotovyy-telefon-xiaomi-mi-10t-lite-6-128gb-plyazh-rozovogo-zolota
Сотовый телефон Realme C3 2/32GB красный,"
10020 сом
","https://www.kivano.kg/images/product/90894/1618065318_95296700.jpg
",/product/view/sotovyy-telefon-realme-c3-2-32gb-krasnyy
